"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,208,"SVN","Slovenia",1,"Gorenjska","Statisticna Regije","Statistical Region",NA,NA
2,208,"SVN","Slovenia",2,"Goriška","Statisticna Regije","Statistical Region",NA,"Severna Primors"
3,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija","Statisticna Regije","Statistical Region",NA,NA
4,208,"SVN","Slovenia",4,"Koroška","Statisticna Regije","Statistical Region",NA,NA
5,208,"SVN","Slovenia",5,"Notranjsko-kraška","Statisticna Regije","Statistical Region",NA,"Kraška, Notranj"
6,208,"SVN","Slovenia",6,"Obalno-kraška","Statisticna Regije","Statistical Region",NA,"Južna Primorska"
7,208,"SVN","Slovenia",7,"Osrednjeslovenska","Statisticna Regije","Statistical Region",NA,"Ljubljana"
8,208,"SVN","Slovenia",8,"Podravska","Statisticna Regije","Statistical Region",NA,NA
9,208,"SVN","Slovenia",9,"Pomurska","Statisticna Regije","Statistical Region",NA,NA
10,208,"SVN","Slovenia",10,"Savinjska","Statisticna Regije","Statistical Region",NA,NA
11,208,"SVN","Slovenia",11,"Spodnjeposavska","Statisticna Regije","Statistical Region",NA,"Posavska"
12,208,"SVN","Slovenia",12,"Zasavska","Statisticna Regije","Statistical Region",NA,NA
