year,type,weight,fecund,egg_size,survival
1991,hatch,NA,NA,NA,NA
1992,hatch,NA,NA,NA,NA
1993,hatch,1801,2182,12.25,46.58
1994,hatch,1681,2134,7.92,50.98
1995,hatch,2630,1576,21.61,68.06
1996,hatch,2165,2171,8.74,63.43
1997,hatch,2093,2206,10.03,60.22
1998,hatch,941,1199,11.15,48.12
1999,hatch,1990,1981,9.69,38.52
2000,hatch,2987,2647,8.87,55.19
2001,hatch,1517,2148,10.74,41.13
2002,hatch,1050,1343,10.52,54.4
2003,hatch,1246,1627,10.62,88.77
2004,hatch,1158,1674,10.13,70.77
2005,hatch,1094,1707,11.9,69.55
2006,hatch,1431,1844,11.03,77.86
2007,hatch,1077,1618,12.26,74.29
2008,hatch,1189,1808,12.07,91.14
2009,hatch,1137,1616,12.34,90.1
2010,hatch,1106,1596,11.89,80.6
2011,hatch,1557,1994,12.21,76.47
2012,hatch,1331,1854,13.08,85.71
1991,wild,1100,2177,NA,90.86
1992,wild,NA,NA,NA,NA
1993,wild,1160,3160,15.63,58.53
1994,wild,1183,2896,20.53,95.99
1995,wild,NA,NA,NA,NA
1996,wild,866,2067,20.56,84.95
1997,wild,NA,NA,NA,NA
1998,wild,NA,NA,NA,NA
1999,wild,635,1619,21.56,93.26
2000,wild,1389,2751,15.22,62.6
2001,wild,1223,2687,13.46,60.52
2002,wild,NA,NA,NA,NA
2003,wild,1282,2578,19.32,98
2004,wild,1191,2322,18.12,90
2005,wild,1404,2450,18.29,82
2006,wild,1343,2248,17.58,62.1
2007,wild,1424,2828,17.1,80.18
2008,wild,1475,2668,14.84,91.61
2009,wild,1486,2749,14.86,88.16
2010,wild,1452,2799,12.88,87.86
2011,wild,1484,2749,14.86,82.84
2012,wild,1360,2766,17.19,90.86
